name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,birth_date,birth_place,birth_country,residence_place,residence_country,lang
ALEKSANYAN Artur,ALEKSANYAN A,Artur ALEKSANYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,21/10/1991,GYUMRI,Armenia,GYUMRI,Armenia,"Armenian, English, Russian"
AMOYAN Malkhas,AMOYAN M,Malkhas AMOYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,22/01/1999,YEREVAN,Armenia,YEREVAN,Armenia,Armenian
GALSTYAN Slavik,GALSTYAN S,Slavik GALSTYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,21/12/1996,,,YEREVAN,Armenia,Armenian
HARUTYUNYAN Arsen,HARUTYUNYAN A,Arsen HARUTYUNYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,22/11/1999,MASIS,Armenia,YEREVAN,Armenia,Armenian
TEVANYAN Vazgen,TEVANYAN V,Vazgen TEVANYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,27/10/1999,POKR VEDI,Armenia,,Armenia,"Armenian, Russian"
ARENAS Lorena,ARENAS L,Lorena ARENAS,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,17/09/1993,PEREIRA,Colombia,MELBOURNE,Australia,Spanish
McKENZIE Ashley,McKENZIE A,Ashley McKENZIE,Male,Athlete,JAM,Jamaica,Jamaica,Jamaica,Jamaica,JAM,17/07/1989,LONDON,Great Britain,CAMBERLEY,Great Britain,English
BASS BITTAYE Gina Mariam,BASS BITTAYE GM,Gina Mariam BASS BITTAYE,Female,Athlete,GAM,Gambia,Gambia,Gambia,Gambia,GAM,03/05/1995,TUBAKUTA,Gambia,,,"English, French"
CAMARA Ebrahima,CAMARA E,Ebrahima CAMARA,Male,Athlete,GAM,Gambia,Gambia,Gambia,Gambia,GAM,18/09/1996,BUNDUNG,Gambia,ANGERS,France,"Arabic, English, French, Mandinka, Wolof"
RUEDA SANTOS Lizeth,RUEDA SANTOS L,Lizeth RUEDA SANTOS,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,07/03/1994,GUADALAJARA,Mexico,XALAPA,Mexico,Spanish
TAPIA VIDAL Rosa Maria,TAPIA VIDAL RM,Rosa Maria TAPIA VIDAL,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,27/08/1997,HERMOSILLO,Mexico,GUADALAJARA,Mexico,"English, Spanish"
GRAJALES Crisanto,GRAJALES C,Crisanto GRAJALES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,06/05/1987,XALAPA,Mexico,XALAPA,Mexico,Spanish
MAAROUFOU Hachim,MAAROUFOU H,Hachim MAAROUFOU,Male,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,13/02/1997,MARSEILLE,France,MARSEILLE,France,French
SAADI Maesha,SAADI M,Maesha SAADI,Female,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,16/01/2007,VIENNE,France,SAINT-ROMAIN-EN-GAL,France,French
DIOSDADO Nuria,DIOSDADO N,Nuria DIOSDADO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,22/08/1990,GUADALAJARA,Mexico,MEXICO CITY,Mexico,Spanish
JIMENEZ Joana,JIMENEZ J,Joana JIMENEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,19/08/1993,ECATEPEC DE MORELOS,Mexico,MEXICO CITY,Mexico,Spanish
SOBRINO Jessica,SOBRINO J,Jessica SOBRINO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,26/05/1994,MEXICO CITY,Mexico,MEXICO CITY,Mexico,Spanish
ALFEREZ Regina,ALFEREZ R,Regina ALFEREZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,01/12/1997,,,MEXICO CITY,Mexico,Spanish
ARELLANO Fernanda,ARELLANO F,Fernanda ARELLANO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,28/02/2002,,,MEXICO CITY,Mexico,Spanish
TOSCANO Pamela,TOSCANO P,Pamela TOSCANO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,13/01/2000,,,GUADALAJARA,Mexico,Spanish
GONZALEZ Itzamary,GONZALEZ I,Itzamary GONZALEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,14/11/2003,,,,,Spanish
RODRIGUEZ Samanta,RODRIGUEZ S,Samanta RODRIGUEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,05/12/1994,,,,,Spanish
INZUNZA Glenda,INZUNZA G,Glenda INZUNZA,Female,Alternate Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,12/03/2000,,,,,
SEHEN Sajjad,SEHEN S,Sajjad SEHEN,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,08/03/1996,,Iraq,,Iraq,Arabic
RUBAIAWI Ali Ammar Yusur,RUBAIAWI AAY,Ali Ammar Yusur RUBAIAWI,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,02/08/2004,,,BAGHDAD,Iraq,Arabic
ISMAIL Mohamed,ISMAIL M,Mohamed ISMAIL,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,01/01/1997,,Djibouti,ALI SABIEH,Djibouti,"French, Somali"
HASSAN Ibrahim,HASSAN I,Ibrahim HASSAN,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,01/01/1997,,,,Djibouti,Somali
WAISS Abdi,WAISS A,Abdi WAISS,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,03/07/1996,,Djibouti,,,"French, Somali"
HASSAN NOUR Samiyah,HASSAN NOUR S,Samiyah HASSAN NOUR,Female,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,05/12/1999,,,,,
HOUSSEIN BARKAT Houmed,HOUSSEIN BARKAT H,Houmed HOUSSEIN BARKAT,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,04/04/2004,,,DJIBOUTI,Djibouti,"English, French"
BARAT Andy,BARAT A,Andy BARAT,Male,Athlete,COM,Comoros,Comoros,Comoros,Comoros,COM,29/11/1997,ANJOUAN,Comoros,,France,French
MARTINEZ RAMIREZ Miguel Angel,MARTINEZ RAMIREZ M,Miguel Angel MARTINEZ RAMIREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,17/03/2001,DURANGO,Mexico,,Mexico,Spanish
VERDE ALVAREZ Marco Alonso,VERDE ALVAREZ MA,Marco Alonso VERDE ALVAREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,11/02/2002,MAZATLAN,Mexico,MAZATLAN,Mexico,Spanish
GONZALEZ Alegna,GONZALEZ A,Alegna GONZALEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,02/01/1999,OJINAGA,Mexico,MEXICO CITY,Mexico,Spanish
LOPEZ Jesus Tonatiu,LOPEZ JT,Jesus Tonatiu LOPEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,02/08/1997,HERMOSILLO,Mexico,HERMOSILLO,Mexico,Spanish
PORTILLO Erick,PORTILLO E,Erick PORTILLO,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,05/10/2000,CHIHUAHUA,Mexico,MEXICO CITY,Mexico,Spanish
MUNOZ Uziel,MUNOZ U,Uziel MUNOZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,08/09/1995,NUEVO CASAS GRANDES,Mexico,MONTERREY,Mexico,Spanish
del REAL Diego,del REAL D,Diego del REAL,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,06/03/1994,MONTERREY,Mexico,MONTERREY,Mexico,"English, Spanish"
DOCTOR Jose Luis,DOCTOR JL,Jose Luis DOCTOR,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,14/06/1996,HUIXQUILUCAN,Mexico,MEXICO CITY,Mexico,Spanish
MORAN Paola,MORAN P,Paola MORAN,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,25/02/1997,GUADALAJARA,Mexico,GUADALAJARA,Mexico,Spanish
GALVAN Laura,GALVAN L,Laura GALVAN,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,05/10/1991,LA SAUCEDA,Mexico,GUANAJUATO,Mexico,"English, Spanish"
CORTES Alma Delia,CORTES AD,Alma Delia CORTES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,26/12/1997,TULTITLAN,Mexico,TULTITLAN,Mexico,Spanish
CRISTIAN MOSCOTE Citlali,CRISTIAN MOSCOTE C,Citlali CRISTIAN MOSCOTE,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,15/04/1995,SAN JUAN DE LOS LAGOS,Mexico,ZAPOPAN,Mexico,Spanish
PALMA OLIVARES Ever Jair,PALMA OLIVARES EJ,Ever Jair PALMA OLIVARES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,18/03/1992,ZIT?CUARO,Mexico,,Mexico,Spanish
OETLING RAMIREZ Elena,OETLING RAMIREZ E,Elena OETLING RAMIREZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,18/04/1993,CHAPALA,Mexico,CHAPALA,Mexico,"English, German, Spanish"
AGUILAR CHAVEZ PEON Mariana,AGUILAR CH P,Mariana AGUILAR CHAVEZ PEON,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,12/03/1999,MEXICO CITY,Mexico,,Mexico,Spanish
LECHUGA ALANIS Kenia,LECHUGA ALANIS K,Kenia LECHUGA ALANIS,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,26/06/1994,SANTIAGO,Mexico,MEXICO CITY,Mexico,Spanish
LOPEZ GARCIA Alexis,LOPEZ GARCIA A,Alexis LOPEZ GARCIA,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,01/05/1997,SAN FELIPE,Mexico,MEXICO CITY,Mexico,Spanish
CARBALLO NIETO Miguel,CARBALLO NIETO M,Miguel CARBALLO NIETO,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,08/07/1992,LA PAZ,Mexico,MEXICO CITY,Mexico,Spanish
BLANCO Luisa,BLANCO L,Luisa BLANCO,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,18/11/2001,"LOS ANGELES, CA",United States,"TUSCALOOSA, AL",,English
WILLARS VALDEZ Randal,WILLARS VALDEZ R,Randal WILLARS VALDEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,30/04/2002,MEXICO CITY,Mexico,MEXICO CITY,Mexico,Spanish
BERLIN REYES Kevin,BERLIN REYES K,Kevin BERLIN REYES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,25/04/2001,VERACRUZ,Mexico,MONTERREY,Mexico,Spanish
OROZCO LOZA Alejandra,OROZCO LOZA A,Alejandra OROZCO LOZA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,19/04/1997,ZAPOPAN,Mexico,GUADALAJARA,Mexico,Spanish
AGUNDEZ GARCIA Gabriela,AGUNDEZ GARCIA G,Gabriela AGUNDEZ GARCIA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,04/08/2000,LA PAZ,Mexico,,Mexico,Spanish
OLVERA IBARRA Osmar,OLVERA IBARRA O,Osmar OLVERA IBARRA,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,05/06/2004,MEXICO CITY,Mexico,,,
GARZA PEREZ Eugenio,GARZA PEREZ E,Eugenio GARZA PEREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,23/07/1996,MONTERREY,Mexico,"WELLINGTON, FL",United States,"English, Spanish"
FERNANDEZ Federico,FERNANDEZ F,Federico FERNANDEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,28/03/1968,"NAPALUCAN, PUEBLO",Mexico,MEXICO CITY,Mexico,"English, Spanish"
de LARA OJEDA Miguel Alejandro,de LARA OJEDA MA,Miguel Alejandro de LARA OJEDA,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,09/08/1994,TORRE?N,Mexico,"BLACKSBURG, VA",United States,Spanish
MORENO Alexa,MORENO A,Alexa MORENO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,08/08/1994,MEXICALI,Mexico,TIJUANA,Mexico,"English, Spanish"
SANDOVAL Ahtziri,SANDOVAL A,Ahtziri SANDOVAL,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,05/10/1996,GUADALAJARA,Mexico,GUADALAJARA,Mexico,Spanish
FLORES Sofia,FLORES S,Sofia FLORES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,20/12/2004,,Mexico,,Mexico,"English, Spanish"
SALAZAR Kimberly,SALAZAR K,Kimberly SALAZAR,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,24/04/2004,XALAPA,Mexico,,Mexico,Spanish
TEJEDA Adirem,TEJEDA A,Adirem TEJEDA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,21/06/2002,,,,,Spanish
ALCOCER Dalia,ALCOCER D,Dalia ALCOCER,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,02/01/2004,MERIDA,Mexico,,Mexico,Spanish
GUTIERREZ Julia,GUTIERREZ J,Julia GUTIERREZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,13/09/2007,MERIDA,Mexico,,Mexico,Spanish
HERNANDEZ Emiliano,HERNANDEZ E,Emiliano HERNANDEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,27/01/1998,MEXICO CITY,Mexico,MEXICO CITY,Mexico,"English, Spanish"
CARRILLO Duilio,CARRILLO D,Duilio CARRILLO,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,24/03/1997,GUADALAJARA,Mexico,MEXICO CITY,Mexico,Spanish
OLIVER Mayan,OLIVER M,Mayan OLIVER,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,11/07/1993,,Mexico,CUAUTITLAN IZCALLI,Mexico,Spanish
SANSORES Carlos,SANSORES C,Carlos SANSORES,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,25/06/1997,CANCUN,Mexico,CANCUN,Mexico,Spanish
SOUZA Daniela Paola,SOUZA DP,Daniela Paola SOUZA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,27/08/1999,"ZAPOPAN, JALISCO",Mexico,TIJUANA,Mexico,Spanish
CLELAND QUINONEZ Alan,CLELAND QUINONEZ A,Alan CLELAND QUINONEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,19/06/2002,BOCA DE PASCUALES,Mexico,AVECES,Mexico,"England, Spanish"
GRIGORIAN Aram,GRIGORIAN A,Aram GRIGORIAN,Male,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,09/06/1998,MOSCOW,Russian Federation,MOSCOW,Russian Federation,Russian
KOSTOEV Dzhafar,KOSTOEV D,Dzhafar KOSTOEV,Male,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,28/04/1999,"NAZRAN, INGUSHETIA",Russian Federation,ABU DHABI,UA Emirates,"Arabic, Russian"
MAGOMEDOMAROV Magomedomar,MAGOMEDOMAROV M,Magomedomar MAGOMEDOMAROV,Male,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,10/04/2001,,Russian Federation,,UA Emirates,Russian
TATALASHVILI Nugzari,TATALASHVILI N,Nugzari TATALASHVILI,Male,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,20/03/1990,TBILISI,Georgia,GORI,Georgia,"English, Georgian, Russian"
BISHRELT Khorloodoi,BISHRELT K,Khorloodoi BISHRELT,Female,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,29/05/1998,ARVAIKHEER,Mongolia,ULAANBAATAR,Mongolia,Mongolian
HOUSSEIN Alexandre,HOUSSEIN A,Alexandre HOUSSEIN,Male,Athlete,DJI,Djibouti,Djibouti,Djibouti,Djibouti,DJI,28/03/1998,COMPI?GNE,France,PARIS,France,"English, French, Spanish"
AL SAYEGH Safia,AL SAYEGH S,Safia AL SAYEGH,Female,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,23/09/2001,,,,,"Arabic, English"
VALENCIA Alejandra,VALENCIA A,Alejandra VALENCIA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,17/10/1994,HERMOSILLO,Mexico,HERMOSILLO,Mexico,Spanish
RUIZ Angela,RUIZ A,Angela RUIZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,28/07/2006,,,MEXICO CITY,Mexico,"English, Spanish"
GRANDE Matias,GRANDE M,Matias GRANDE,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,26/04/2004,GUANAJUATO,Mexico,MEXICO CITY,Mexico,Spanish
PRIETO Marcela,PRIETO M,Marcela PRIETO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,11/03/1992,AGUASCALIENTES,Mexico,,,Spanish
RAMIREZ RAMOS Edson Ismael,RAMIREZ RAMOS EI,Edson Ismael RAMIREZ RAMOS,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,10/07/2000,CIUDAD VICTORIA,Mexico,SALTILLO,Mexico,Spanish
RODRIGUEZ Gabriela,RODRIGUEZ G,Gabriela RODRIGUEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,12/12/1996,NUEVO LEON,Mexico,SALTILLO,Mexico,"English, Spanish"
ZAVALA VAZQUEZ Alejandra,ZAVALA VAZQUEZ A,Alejandra ZAVALA VAZQUEZ,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,16/06/1984,GUADALAJARA,Mexico,LEON,Mexico,"English, Spanish"
QUEZADA MARQUEZ Carlos,QUEZADA MARQUEZ C,Carlos QUEZADA MARQUEZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,21/10/1999,GUADALAJARA,Mexico,GUADALAJARA,Mexico,Spanish
PENAFLOR MOYSEN Aram Michell,PENAFLOR MOYSEN AM,Aram Michell PENAFLOR MOYSEN,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,11/03/1999,TOLUCA,Mexico,GUADALAJARA,Mexico,Spanish
REINOSO Sofia,REINOSO S,Sofia REINOSO,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,23/10/1996,PUEBLA,Mexico,TLAPACOYAN,Mexico,"English, Spanish"
BRIONES FRAGOZA Beatriz,BRIONES FRAGOZA B,Beatriz BRIONES FRAGOZA,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,10/02/1999,TIJUJANA,Mexico,SULTANA DEL NORTE,Mexico,Spanish
ALANIS MORALES Karina,ALANIS MORALES K,Karina ALANIS MORALES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,09/12/1993,MONTERREY,Mexico,,,Spanish
LINARES Natalia,LINARES N,Natalia LINARES,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,03/01/2003,VALLEDUPAR,Colombia,SANTA MARTA,Colombia,Spanish
LONGA Ronal,LONGA R,Ronal LONGA,Male,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,30/06/2004,ISTMINA,Colombia,BOGOTA,Colombia,Spanish
RUIZ HURTADO Flor Denis,RUIZ HURTADO FD,Flor Denis RUIZ HURTADO,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,29/01/1991,PRADERA,Colombia,PALMIRA,Colombia,Spanish
ORJUELA Angie,ORJUELA A,Angie ORJUELA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,09/05/1989,BOGOTA,Colombia,BOGOTA,Colombia,Spanish
RENTERIA RENTERIA Tatiana,RENTERIA RENTERIA,Tatiana RENTERIA RENTERIA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,22/12/2000,,,VALLE DEL CAUCA,Colombia,Spanish
VALDES PANA Angie Paola,VALDES PANA AP,Angie Paola VALDES PANA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,14/07/2000,BARRANQUILLA,Colombia,BARRANQUILLA,Colombia,Spanish
ARBOLEDA MENDOZA Valeria,ARBOLEDA MENDOZA V,Valeria ARBOLEDA MENDOZA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,13/04/2002,BOGOTA,Colombia,,Colombia,Spanish
BOLANOS LOPEZ Victor,BOLANOS LOPEZ V,Victor BOLANOS LOPEZ,Male,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,19/09/1994,RESTREPO VALLE DEL CAUCA,Colombia,SANTIAGO DE CALI,Colombia,Spanish
ABDOLI Samyar,ABDOLI S,Samyar ABDOLI,Male,Athlete,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,IRI,25/12/2002,,,,,
SIMWAKA Asimenye,SIMWAKA A,Asimenye SIMWAKA,Female,Athlete,MAW,Malawi,Malawi,Malawi,Malawi,MAW,08/08/1997,,Malawi,,Malawi,English
AL MARZOOQI Omar Abdul Aziz,AL MARZOOQI OAA,Omar Abdul Aziz AL MARZOOQI,Male,Athlete,UAE,UA Emirates,United Arab Emirates,UA Emirates,United Arab Emirates,UAE,28/03/2003,,,ABU DHABI,UA Emirates,"Arabic, English"
SERRANO Franco,SERRANO F,Franco SERRANO,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,22/11/2000,BUENOS AIRES,Argentina,BUENOS AIRES,Argentina,Spanish
KUMEL SAADI,KUMEL SAADI,KUMEL SAADI,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,19/08/2004,AARAU,Switzerland,,Iraq,"Arabic, German"
JOSEF AL IMAM,JOSEF AL IMAM,JOSEF AL IMAM,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,27/07/2004,,Sweden,,Sweden,"Arabic, Swedish"
MUNTADHER ABDULAMEER,MUNTADHER ABDULAM,MUNTADHER ABDULAMEER,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,06/10/2001,,Iraq,,Iraq,Arabic
MUNTADHER MOHAMMED,MUNTADHER MOHAMMED,MUNTADHER MOHAMMED,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,05/06/2001,,Iraq,,IR Iran,"Arabic, Persian"
MAEDER Maximilian,MAEDER M,Maximilian MAEDER,Male,Athlete,SGP,Singapore,Singapore,Singapore,Singapore,SGP,12/09/2006,FLAWIL,Singapore,,,"Chinese, English, German"
LO Ryan,LO R,Ryan LO,Male,Athlete,SGP,Singapore,Singapore,Singapore,Singapore,SGP,26/02/1997,,Singapore,,Singapore,English
SIM En Yi Letitia,SIM EYL,En Yi Letitia SIM,Female,Athlete,SGP,Singapore,Singapore,Singapore,Singapore,SGP,03/03/2003,,Singapore,SINGAPORE,Singapore,English
TAN Jonathan Eu Jin,TAN JEJ,Jonathan Eu Jin TAN,Male,Athlete,SGP,Singapore,Singapore,Singapore,Singapore,SGP,11/03/2002,SINGAPORE,Singapore,"STANFORD, CA",United States,"English, Mandarin"
PEREIRA Veronica Shanti,PEREIRA VS,Veronica Shanti PEREIRA,Female,Athlete,SGP,Singapore,Singapore,Singapore,Singapore,SGP,20/09/1996,,Singapore,SINGAPORE,Singapore,English
ZAID TAHSEEN,ZAID TAHSEEN,ZAID TAHSEEN,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,29/01/2001,NAJAF,Iraq,,Iraq,Arabic
HUSSEIN AMER,HUSSEIN AMER,HUSSEIN AMER,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,28/04/2002,MUTHANNA,Iraq,,,
ANAK LISES Bertrand Rhodict,ANAK LISES BR,Bertrand Rhodict ANAK LISES,Male,Athlete,MAS,Malaysia,Malaysia,Malaysia,Malaysia,MAS,28/05/2005,SARAWAK,Malaysia,KUALA LUMPUR,Malaysia,English
HUSSEIN LAWEND,HUSSEIN LAWEND,HUSSEIN LAWEND,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,20/01/2001,,Iraq,,Iraq,Arabic
WONG Guanjie Johnathan,WONG GJ,Guanjie Johnathan WONG,Male,Athlete,MAS,Malaysia,Malaysia,Malaysia,Malaysia,MAS,23/08/1992,MELAKA,Malaysia,KUALA LUMPUR,Malaysia,"English, Malay, Mandarin"
MOHAMAD ZUBIR Nur Aisyah,MOHAMAD ZUBIR NA,Nur Aisyah MOHAMAD ZUBIR,Female,Athlete,MAS,Malaysia,Malaysia,Malaysia,Malaysia,MAS,04/10/1997,KEMAMAN,Malaysia,KUALA TERENGGANU,Malaysia,Malay
MOHAMAD LATIF Nur Shazrin,MOHAMAD LATIF NS,Nur Shazrin MOHAMAD LATIF,Female,Athlete,MAS,Malaysia,Malaysia,Malaysia,Malaysia,MAS,02/02/1998,JOHOR,Malaysia,LANGKAWI,Malaysia,"English, Malay"
ALI JASIM,ALI JASIM,ALI JASIM,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,20/01/2004,BAGHDAD,Iraq,,Iraq,Arabic
KARRAR SAAD,KARRAR SAAD,KARRAR SAAD,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,22/03/2001,,Iraq,,Iraq,Arabic
KARRAR MOHAMMED,KARRAR MOHAMMED,KARRAR MOHAMMED,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,06/01/2001,,Iraq,,Iraq,Arabic
NIHAD MOHAMMED,NIHAD MOHAMMED,NIHAD MOHAMMED,Male,Athlete,IRQ,Iraq,Iraq,Iraq,Iraq,IRQ,14/01/2001,,Iraq,,Iraq,Arabic
DOUA Camil,DOUA C,Camil DOUA,Male,Athlete,MTN,Mauritania,Mauritania,Mauritania,Mauritania,MTN,23/02/2002,VALENCIENNES,France,,France,"Arabic, French"
CHEW Caroline,CHEW C,Caroline CHEW,Female,Athlete,SGP,Singapore,Singapore,Singapore,Singapore,SGP,18/04/1992,SINGAPORE,Singapore,LONDON,Great Britain,"English, Mandarin"
HERNANDEZ FLORES Margarita,HERNANDEZ FLORES M,Margarita HERNANDEZ FLORES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,03/12/1985,SAN ANDRES CUEXCONTITLAN,Mexico,TOLUCA,Mexico,Spanish
SALIMI Arian,SALIMI A,Arian SALIMI,Male,Athlete,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,IRI,16/12/2003,KERMANSHAH,IR Iran,,IR Iran,Farsi
BARKHORDARI Mehran,BARKHORDARI M,Mehran BARKHORDARI,Male,Athlete,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,IRI,26/07/2000,QAZVIN,IR Iran,,IR Iran,Farsi
